location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
5893160,"KLCC","pm25",18.72,"µg/m³","2025-11-28T16:26:04Z","2025-11-29T00:26:04+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",17.52,"µg/m³","2025-11-28T16:43:12Z","2025-11-29T00:43:12+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",18.63,"µg/m³","2025-11-28T17:00:20Z","2025-11-29T01:00:20+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",20.09,"µg/m³","2025-11-28T17:17:27Z","2025-11-29T01:17:27+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",19.79,"µg/m³","2025-11-28T17:34:35Z","2025-11-29T01:34:35+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",20.27,"µg/m³","2025-11-28T17:51:42Z","2025-11-29T01:51:42+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",17.2,"µg/m³","2025-11-28T18:08:50Z","2025-11-29T02:08:50+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",18.59,"µg/m³","2025-11-28T18:26:00Z","2025-11-29T02:26:00+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",17.08,"µg/m³","2025-11-28T18:43:08Z","2025-11-29T02:43:08+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",19.92,"µg/m³","2025-11-28T19:00:19Z","2025-11-29T03:00:19+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",19.58,"µg/m³","2025-11-28T19:17:27Z","2025-11-29T03:17:27+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",16.95,"µg/m³","2025-11-28T19:34:34Z","2025-11-29T03:34:34+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",17.05,"µg/m³","2025-11-28T19:51:42Z","2025-11-29T03:51:42+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",16.88,"µg/m³","2025-11-28T23:00:09Z","2025-11-29T07:00:09+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",16.98,"µg/m³","2025-11-28T23:17:17Z","2025-11-29T07:17:17+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",17.99,"µg/m³","2025-11-28T23:34:25Z","2025-11-29T07:34:25+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
5893160,"KLCC","pm25",15.94,"µg/m³","2025-11-28T23:51:32Z","2025-11-29T07:51:32+08:00","Asia/Kuala_Lumpur",3.1564,101.70981,,,,"Clarity","Clarity"
